"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162896",323.985313106472,1.00914932669737,0.339245731200396,2.97468540908848,0.00293289155941541,0.164816722803946
"ENSG00000165105",316.091066935177,-0.72284471810061,0.243988723809292,-2.9626152668662,0.00305037574761542,0.164816722803946
"ENSG00000198380",707.867258386697,-0.669469174378532,0.225182807464437,-2.97300305434846,0.00294901516747547,0.164816722803946
"ENSG00000214076",161.242299759344,-1.13079007795378,0.384632164988291,-2.93992593674063,0.00328290708271229,0.164816722803946
"ENSG00000227191",394.594719143073,-1.03215412896577,0.351170335225311,-2.93918371067288,0.00329077954916176,0.164816722803946
"ENSG00000272060",654.74555945097,0.734878205057262,0.250319185700871,2.9357646038983,0.00332726705038999,0.164816722803946
"ENSG00000142515",66932.256918592,-0.911998013856686,0.312305302428257,-2.92021303117706,0.0034979218422336,0.166858314261441
"ENSG00000079257",104.073016604773,0.98870829461702,0.339852934512596,2.90922394427751,0.00362327216381263,0.169722073036581
"ENSG00000137124",238.599785756369,0.845669079250832,0.290818629005085,2.90789170605727,0.00363874321429832,0.169722073036581
"ENSG00000174099",335.88861414645,0.843280183410882,0.290169464841262,2.9061644507364,0.00365889095901043,0.169722073036581
"ENSG00000205213",183.403557565961,-0.798104134132017,0.274500359507109,-2.90747937658474,0.00364354368423665,0.169722073036581
"ENSG00000132688",263.515398053647,0.733100304107189,0.252766498560495,2.90030644204115,0.00372798000902583,0.17058990714231
"ENSG00000134871",1051.74900742236,0.663220715837098,0.228674923915916,2.90027740899551,0.00372832535681231,0.17058990714231
"ENSG00000116133",2739.02074527952,-0.682630248284062,0.23596602813927,-2.89291748336402,0.00381681557809325,0.17345879444767
"ENSG00000116132",401.348053019798,0.753939507124358,0.260957143417178,2.8891315150514,0.00386307470006794,0.173850468052035
"ENSG00000168542",2689.35888354737,0.595446832055937,0.20618040602224,2.88798942413426,0.00387712908233799,0.173850468052035
"ENSG00000116406",264.077816733944,-0.757419103968275,0.263134172556267,-2.87845207108672,0.00399632001594772,0.175681362269702
"ENSG00000122786",3694.07619072641,0.696390903451572,0.241787433039008,2.88017824044321,0.00397450405932974,0.175681362269702
"ENSG00000234648",159.479471648145,0.807854773275022,0.280529495683235,2.87974985057267,0.00397990809458964,0.175681362269702
"ENSG00000147065",556.27377524705,0.668401888070349,0.232463406512778,2.87529937764036,0.00403644571980552,0.17629307734683
"ENSG00000115414",2412.87317880944,0.684247770409209,0.238305380325123,2.87130642822953,0.00408779054309764,0.17659997332327
"ENSG00000142156",1193.43807733964,0.733165473386867,0.255578331089953,2.8686527150411,0.00412224142309744,0.17659997332327
"ENSG00000182240",333.14126788685,0.735972229741504,0.256422863392649,2.87015057863441,0.00410276369782673,0.17659997332327
"ENSG00000077157",1541.31652946436,0.726772098049908,0.254259495615757,2.85838724052306,0.00425800411966126,0.18126161841039
"ENSG00000183722",141.377077901284,0.826360177660292,0.289373054928491,2.85569151510842,0.00429432150024403,0.181657901953719
"ENSG00000095637",1103.84884646889,0.757518213464674,0.266244895382333,2.84519337873826,0.00443844683858313,0.184277737261174
"ENSG00000107796",4232.30445201811,0.828014193605485,0.290825933269267,2.84711265015988,0.00441177476268948,0.184277737261174
"ENSG00000168386",485.532281309777,0.894425881738573,0.313947000654086,2.84897094055717,0.00438608864086255,0.184277737261174
"ENSG00000114391",236.217634032011,0.845530484380606,0.298146783294541,2.83595373740893,0.00456890636929932,0.188530455459554
"ENSG00000197903",220.4961717137,-0.891237864620338,0.31467773977821,-2.83222405642197,0.00462254452999601,0.189580698224105
"ENSG00000117143",407.728703071205,-0.716510583668915,0.253557481765245,-2.82583096614082,0.00471581422910553,0.19223373639372
"ENSG00000166441",424.620334331227,0.749027449354522,0.265258508654397,2.82376408264597,0.00474633069967479,0.192312170397666
"ENSG00000136235",290.546301999799,0.800155680982613,0.283713365227073,2.82029604189496,0.0047979363097741,0.193167057183661
"ENSG00000164733",1792.39386505301,0.603089936818137,0.213975533896502,2.81849950709713,0.00482486851127788,0.193167057183661
"ENSG00000171345",399.748535464531,0.66877173315244,0.238044421987893,2.80944089160994,0.00496276312599114,0.196350263443626
"ENSG00000261324",184.88884854693,-0.81120248343881,0.288577451892546,-2.81103904036434,0.00493817936118051,0.196350263443626
